1286889,295639
78100,354701
1141954,1707473
243517,1414031
1529421,382333
762013,781310
677304,769376
1022590,1111118
291881,1229881
1253268,1213812
362169,571924
211577,1300559
415049,176090
1505483,880478
1270728,369205
409819,522311
1579232,614582
92294,433356
1645749,803658
98299,570554
456847,1474324
1040294,1168896
818386,654770
181354,489408
467858,1059326
1435376,813208
810939,176283
1225927,1422464
510374,1346680
278249,676092
1069470,291626
848505,1534695
1230681,984716
519513,498471
1261768,779043
872954,845393
1080734,189798
896199,1091720
1574217,1090268
607219,313539
1420027,1420304
700364,451573
1526875,912289
127470,276235
876844,619274
538048,1172391
121148,1694743
117162,1245833
1087210,1445613
352431,537146
113783,1415268
424363,424360
925904,1642733
593833,920935
867569,430050
301572,559971
715706,227336
1603834,1497722
150405,689006
1186926,1261234
1307208,1347676
114508,1481887
934373,1199999
1138731,1093304
1657469,509846
338039,1625125
351602,1090268
1334596,736013
313888,244121
203603,1103010
1421679,1360897
1109609,1553812
1627675,536020
691044,714972
508514,525090
1642192,781310
1536719,481254
407137,542529
875673,985597
1659397,1166213
1305321,901252
600120,1246702
254879,1013561
1304450,1484730
655446,1188908
1237295,892484
1438272,1163804
121786,834495
1071504,1080168
1362516,752748
869063,1422661
1365099,1626683
1078548,575442
1071333,1617899
1212845,1181640
1427530,291626
279418,1411641
993617,1172204
901217,1278020
1425828,779043
779328,596528
1587071,306913
804156,880620
1270546,1426185
1045719,360141
1417370,1399011
1536014,305860
1487853,1625882
648356,98299
460498,1378124
1675464,822412
971298,1473185
792881,758625
771532,604271
1090057,793502
769755,1166246
1560209,1370790
690155,783968
766543,1323417
911740,1310196
747077,1412082
1066664,1025126
281948,322579
1310855,1627214
315604,1294487
1089139,494222
545253,1418367
1373490,1644947
303431,431463
1221443,300450
508263,724999
1158632,1437553
912574,1270546
114508,577870
817754,462481
1060351,1561648
1107092,1534930
116607,162645
1135704,1040969
538578,645653
1006215,429078
1630604,179373
970768,223419
1022605,1356193
347847,169889
1304724,570554
1394983,1076196
225717,1483680
879646,1091922
710233,528000
821890,334566
1323546,1689912
1404645,286867
305819,699279
1093304,1069081
1288771,670576
1343221,1667266
507862,460172
454024,1330957
1332932,1337118
867715,1447230
576380,713085
917930,761953
1504303,1071873
1525881,241233
922718,1267194
507024,828888
246098,196529
105504,151100
1005943,1528019
1020359,1384742
174051,794096
1206028,322515
723344,1330689
577870,510853
1628392,1685528
842149,1180121
1087384,280491
1175360,119311
1333157,311420
1667750,259943
115249,1194693
1485169,1477351
715165,785074
514525,1163998
1092126,1090146
1682873,307054
1543597,1549624
568407,1139395
1237295,891542
457857,278849
433350,1220768
1400715,573274
333390,880520
339035,1100549
256924,894997
946758,1212246
641042,1650756
1575209,773788
1027260,1302296
1540099,1542855
910266,1637486
455224,635965
776527,766419
43896,658246
233377,352189
1463374,1449347
730852,754441
484737,485299
1708772,973226
1365833,700722
1710440,676201
1442274,848987
1600429,275237
1338984,968789
238851,1519440
953833,1644614
1056352,1299516
1474382,1300393
1283232,489000
