1286889,295639,19,23
78100,354701,6,23
1141954,1707473,35,35
243517,1414031,6,6
1529421,382333,23,23
762013,781310,35,35
677304,769376,23,23
1022590,1111118,6,6
291881,1229881,23,23
1253268,1213812,6,6
362169,571924,19,19
211577,1300559,23,23
415049,176090,23,23
1505483,880478,39,39
1270728,369205,6,6
409819,522311,6,19
1579232,614582,6,19
92294,433356,6,23
1645749,803658,6,6
98299,570554,6,23
456847,1474324,6,6
1040294,1168896,23,23
818386,654770,35,35
181354,489408,19,19
467858,1059326,6,6
1435376,813208,19,19
810939,176283,39,39
1225927,1422464,6,6
510374,1346680,35,6
278249,676092,19,19
1069470,291626,23,19
848505,1534695,19,23
1230681,984716,23,23
519513,498471,19,19
1261768,779043,23,19
872954,845393,6,6
1080734,189798,23,23
896199,1091720,39,39
1574217,1090268,6,6
607219,313539,19,19
1420027,1420304,6,6
700364,451573,39,39
1526875,912289,6,6
127470,276235,6,6
876844,619274,19,19
538048,1172391,19,19
121148,1694743,35,39
117162,1245833,6,19
1087210,1445613,23,23
352431,537146,6,6
113783,1415268,6,6
424363,424360,6,6
925904,1642733,6,6
593833,920935,6,6
867569,430050,39,39
301572,559971,19,19
715706,227336,35,35
1603834,1497722,6,6
150405,689006,19,23
1186926,1261234,39,39
1307208,1347676,19,19
114508,1481887,39,39
934373,1199999,6,6
1138731,1093304,6,6
1657469,509846,23,6
338039,1625125,6,6
351602,1090268,6,6
1334596,736013,19,19
313888,244121,6,6
203603,1103010,6,6
1421679,1360897,6,6
1109609,1553812,6,35
1627675,536020,19,19
691044,714972,35,35
508514,525090,19,19
1642192,781310,6,35
1536719,481254,39,19
407137,542529,6,6
875673,985597,23,23
1659397,1166213,6,6
1305321,901252,19,19
600120,1246702,39,23
254879,1013561,23,23
1304450,1484730,6,6
655446,1188908,6,6
1237295,892484,23,23
1438272,1163804,35,35
121786,834495,6,6
1071504,1080168,6,6
1362516,752748,19,23
869063,1422661,23,23
1365099,1626683,6,23
1078548,575442,19,19
1071333,1617899,19,19
1212845,1181640,6,6
1427530,291626,19,19
279418,1411641,6,19
993617,1172204,6,6
901217,1278020,19,19
1425828,779043,23,19
779328,596528,19,19
1587071,306913,39,39
804156,880620,6,6
1270546,1426185,23,23
1045719,360141,39,39
1417370,1399011,35,35
1536014,305860,23,23
1487853,1625882,23,19
648356,98299,23,6
460498,1378124,23,23
1675464,822412,19,19
971298,1473185,6,35
792881,758625,6,6
771532,604271,6,6
1090057,793502,6,6
769755,1166246,19,19
1560209,1370790,35,35
690155,783968,6,6
766543,1323417,35,35
911740,1310196,23,23
747077,1412082,39,39
1066664,1025126,6,6
281948,322579,6,6
1310855,1627214,19,6
315604,1294487,6,6
1089139,494222,23,23
545253,1418367,19,19
1373490,1644947,6,6
303431,431463,19,19
1221443,300450,6,6
508263,724999,6,6
1158632,1437553,19,19
912574,1270546,23,23
114508,577870,39,39
817754,462481,19,19
1060351,1561648,23,23
1107092,1534930,39,39
116607,162645,23,39
1135704,1040969,19,19
538578,645653,6,6
1006215,429078,19,19
1630604,179373,23,19
970768,223419,23,23
1022605,1356193,6,6
347847,169889,19,19
1304724,570554,23,23
1394983,1076196,19,19
225717,1483680,6,23
879646,1091922,19,19
710233,528000,23,23
821890,334566,6,6
1323546,1689912,6,6
1404645,286867,23,23
305819,699279,35,35
1093304,1069081,6,6
1288771,670576,6,6
1343221,1667266,6,6
507862,460172,39,23
454024,1330957,6,6
1332932,1337118,6,6
867715,1447230,23,23
576380,713085,35,35
917930,761953,19,19
1504303,1071873,6,6
1525881,241233,23,23
922718,1267194,35,35
507024,828888,39,39
246098,196529,23,23
105504,151100,6,35
1005943,1528019,39,39
1020359,1384742,6,6
174051,794096,6,6
1206028,322515,6,6
723344,1330689,39,39
577870,510853,39,39
1628392,1685528,6,6
842149,1180121,19,19
1087384,280491,6,6
1175360,119311,19,6
1333157,311420,6,6
1667750,259943,6,6
115249,1194693,23,23
1485169,1477351,19,19
715165,785074,23,23
514525,1163998,6,6
1092126,1090146,19,6
1682873,307054,6,6
1543597,1549624,6,6
568407,1139395,23,19
1237295,891542,23,23
457857,278849,6,6
433350,1220768,19,19
1400715,573274,6,6
333390,880520,39,39
339035,1100549,39,39
256924,894997,23,23
946758,1212246,39,39
641042,1650756,23,23
1575209,773788,6,6
1027260,1302296,6,6
1540099,1542855,6,6
910266,1637486,39,39
455224,635965,19,19
776527,766419,19,19
43896,658246,6,6
233377,352189,6,6
1463374,1449347,6,6
730852,754441,6,6
484737,485299,6,6
1708772,973226,6,6
1365833,700722,19,19
1710440,676201,6,6
1442274,848987,6,6
1600429,275237,19,19
1338984,968789,6,6
238851,1519440,6,6
953833,1644614,23,23
1056352,1299516,23,19
1474382,1300393,6,6
1283232,489000,35,35
538288,1276112,6,6
1573292,1182309,6,6
135410,734415,6,6
